Name of Product,Batch No,Manufactured By,Reporting Month & Year
Amloclav 625 (Amoxycillin & Potassium Clavulanate Tablets I.P.),BT136026,"M/s. Shashi Pharma, S.N. 77/P, At Vill. Dhanot, Chhatral-382729, Ta. Kalol. Dist. Gandhinagar (Guj.)",01-01-2020
Radin Syrup (Ranitidine Oral Solution I.P.),S18J025,"M/s. Shri Hari Pharmaceuticals Plot No. 767/1, Vadsar-Motibhoyan Road, Vill-Vadsar-382721, Taluka, Kalol, Dist-Gandhinagar, Gujarat.",01-01-2020
Preginate (Doxylamine Succinate and Pyridoxine Hydrochloride Tablets),ZD18715,"M/s. Skymap Pharmaceuticals Pvt. Ltd. B-3, Dev Bhoomi Industrial Estate Puhana, Iqbalpur Road, Roorkee-247667 Uttarakhand.",01-01-2020
Paracetamol Tablets I.P. 650 (Cule 650),TPT-190266,"M/s. Talwar Pharma Jhabrera Road, Kurdi, Manglour-247656, Roorkee, Dist-Haridwar Uttarakhand.",01-01-2020
Gabapentin Tablets IP 300 Mg,STN-181861,"M/s. Terrace Pharmaceuticals (P)Ltd. 3-B (a), Phase-III, Industrial Area Sansarpur Terrace, Distt. Kangra (H.P)-176501",01-01-2020
THEOIMMUNE (Pro-Biotic Capsules),GC190060,"M/s. Theon Pharmaceuticals Ltd., Vill: Saini Majra, Tehsil Nalagarh, Dist. Solan, Himachal Pradesh-174101.",01-01-2020
Olmemark-40 (Olmesartan Medoxomil Tablet IP 40 mg),TPT8689,"M/s. Trugen Pharmaceuticals Pvt. Ltd., Village-Tejjupur, Near Chodiala Rly. Station Roorkey, Dist-Haridwar (UK)-247661.",01-01-2020
Ferrous Sulphate and Folic Acid Tablets I.P.,IFTJ18028,"M/s. Vivek Pharmachem (India) Ltd. EPIP, Bari Brahmana, Jammu-181133.",01-01-2020
Vitamin B-complex Tablet (Prophylactic) NFI (III),T8605,"M/s. Zest Pharma, Plot No.275, Sector F, Sanwer Road,Indore (M.P.) 452015.",01-01-2020
REGUNAC ? 50 (Diclofenac Gastro- Resistant Tablets I.P. 50 mg),FZ57F801,"M/s. Zim Laboratories Limited, B-21/22, MIDC Area, Kalmeshwar -441501, Dist. Nagpur, Maharashtra.",01-01-2020
Depotex 16 mg (Methylprednisolone Tablets IP),AFV1010,"M/s. Zydus Healthcare Ltd., Manufatured at : Vill. Saini Majra, Nalagarh-Ropar Road, Nalagarh, Distt.: Solan-HP.",01-01-2020
Dressipad (1 Surgical Dressing 10cm. X 10cm.),KSCD-29,"M/s.K.S. Surgical Pvt. Ltd. Vill-Begmabad, Budhana, Unchi Sadak, Modi Nagar, U.P.",01-01-2020
Frusemide Tablets I.P. 40 mg. (Rasix),7127,"M/s.Ramson Remedies 186-187, Industrial Focal Point, Amritsar, A.O. 2G Floor, Baktawar, Malabar Hill, Mumbai-6.",01-01-2020
Ampicillin Capsules I.P. 250 mg,CB181217,"M/s. Micron Pharmaceuticals, 2117, A-2, Phase III, G.I.D.C, Vapi-396195, Gujarat.",01-01-2020
Ranitidine Injection I.P.,RI-138,"M/s. Rathi Laboratories (Hindustan) Pvt. Ltd. Industrial Area, Patna-800013.",01-01-2020
Nimesulide Tablets 100mg,NP17016,"M/s. Navketan Pharma Pvt. Ltd., F-106, MIDC, Waluj, Aurangabad-431136 Maharashtra.",01-01-2020
Albendazole Tablets IP 400 MG,ABTW-05,"M/s. Nestor Pharmaceuticals Limited 11, Western Extension Area, Faridabad-121001 (Haryana).",01-01-2020
Fluconazole Tablets,TOH-02,"M/s. Om Biomedic Pvt. Ltd., Plot No.68,69, 82 & 83, Sector-6A, Sidcul, Haridwarâ??249403 (Uttarakhand).",01-01-2020
Albendazole Tablets I.P. 400mg,9622,"M/s. Orissa Drugs & Chemicals Ltd. 1, Mancheswar Industrial Estate, Bhubaneswar Odisha.",01-01-2020
Telmisartan Tablets I.P. 40mg,TMA1001,"M/s. Sai Mirra Innopharm Pvt. Ltd. 288 & 299, SIDCUL Estate, Ambattur, Chennai-600098 Tamilnadu.",01-01-2020
Pantoprazole Gastro- resistant Tablets I.P.,T-6988,"M/s. Kwality Pharmaceuticals Ltd., Nagkalan, Majitha Road, Amritsar Punjab.",01-01-2020
Decodil Expectorant,LF19008,"M/s. Ortin Laboratories Ltd., 275 & 278 (part) I.D.A. Pashamilaram 502307, Sanga Reddy Dist. Telangana.",01-01-2020
"Valaciclovir Hydrochloride, Hydrated Ph. Eur.",AA41927,"M/s. Sun Pharmaceutical Industries Limited, Industrial Area No.3, Dewas 455001 Madhya Pradesh.",01-01-2020
"Valaciclovir Hydrochloride, Hydrated Ph. Eur.",AA41926,"M/s. Sun Pharmaceutical Industries Limited, Industrial Area No.3, Dewas 455001 M.P.",01-01-2020
"Absorbent Cotton Wool I.P.,",A/1812,"M/s. Altus Surgical Pvt. Ltd., 21/D, Mahagujarat Ind. Estate, Sarkhej-Bavla Road, Moraiya, Ahmedabad.",01-01-2020
Diclofenac Sodium Tablets I.P.,DF-R008,"M/s. Bengal Chemicals & Pharmaceuticals Ltd., 115-C, Industrial Estate, Pologround, Indore â?? 452015.",01-01-2020
Albendazole Tablets I.P. 400mg,8491015,"M/s. Bengal Chemicals & Pharmaceuticlas Ltd. 164, Maniktala Main Road, Kolkata-700054.",01-01-2020
Oral Rehydration Salts IP,GP19127,"M/s. Globela Pharma Pvt. Ltd., 357, 358 GIDC, Sachin, Surat-394230, Gujarat.",01-01-2020
Oral Rehydration Salts IP,GP19128,"M/s. Globela Pharma Pvt. Ltd., 357, 358 GIDC, Sachin, Surat-394230, Gujarat.",01-01-2020
Dom-H (Domperidone Suspension),1801,"M/s. Harsh Healthcare 100-101, Industrial Area Rau-453331 Madhya Pradesh.",01-01-2020
Dressipad (1 Surgical Dressing 10cm. X 10cm.),KSCD-12,"M/s. K.S. Surgical Pvt. Ltd. Vill-Begmabad, Budhana, Unchi Sadak, Modi Nagar, U.P.",01-01-2020
Albendazole Tablets IP 400MG,8600219,"M/s. Karnataka Antibiotics & Pharmaceuticals Limited Plot no.14, II Phase, Peenya, Bangalore-560058.",01-01-2020
Albendazole Tablets IP 400 MG,8600119,"M/s. Karnataka Antibiotics & Pharmaceuticals Limited Plot No.14, II Phase, Peenya, Bangalore-560058.",01-01-2020
(Amoxycillin Dispersible Tablets IP 250 mg ),LBT-1578,"M/s. Legen Healthcare, Plot No.20, Sector-5, Parwanoo, Distt.Solan.(H.P.) 173220",01-01-2020
Amoxycillin and Potassium Clavulanate Tablets IP (Angiclave- 625 Tablets),SSB-1658,"M/s. Shri Sai Balaji Pharmatech Pvt. Ltd. 20 Ext. HPSIDC, Ind.Area, Baddi, Himachal Pradesh 173205.",01-02-2020
Lactulose Solution,TL-19109,"M/s. Terrace Pharmaceuticals (P) Ltd. 3-B (a), Phase-III, Industrial Area, Sansarpur, Terrace, Distt. Kangra (H.P.)-176501.",01-02-2020
Glyjack ? 1 (Glimepiride Tablets I.P.),T?19598,"M/s. Jackson Laboratories Pvt. Ltd., 22-24, Majitha Road, Bye Pass, Amritsar â?? 143 001, Punjab.",01-02-2020
Fexodil 120 mg (Fexofenadine Hydrochloride Tablets),T?18839,"M/s. Jackson Laboratories Pvt. Ltd., 22-24, Majitha Road, Bye Pass, Amritsar â?? 143 001, Punjab.",01-02-2020
Phenytoin Sodium Tablets I.P. 100 mg,T?18909,"M/s. Jackson Laboratories Pvt. Ltd., No. 22 â?? 24, Majitha Road, Bye Pass, Amritsar â?? 143 001, Punjab.",01-02-2020
Enzitec Digestive Enzyme Syrup,UBL19005,"M/s. Unibiotech Formulations Delta Division, Vill.Katha, Baddi, Dist. Solan, Himachal Pradesh - 173205.",01-02-2020
Pantoprazole Gastro Resistant Tablets I.P.40 mg.,T-7159,"M/s. Kwality Pharmaceuticals Ltd. Nag Kalan, Majitha Road, Amritsar, Punjab.",01-02-2020
"Ondansetron Injection I.P. 2 mg/ml, 2 ml",ONI1923,"M/s. Modern Laboratories, 45-47, Sector D â?? 2, Sanwer Road, Indore, Madhya Pradesh â?? 452 015.",01-02-2020
Cyanocobalamin Inj. I.P. 1 ml,CY2902,"M/s. Nandini Medical Laboratories Pvt Ltd., 221/5, Bicholi Hapsi, Kanadia Road, Indore.",01-02-2020
Serratiopeptidase Tablets IP 10 mg,SET8002,"M/s. Sai Mirra Innopharm Pvt. Ltd., 288 & 299, SIDCO Estate, Ambattur, Chennai â?? 600 098.",01-02-2020
"Cecon ? XT Tablets (Ferrous Ascorbate, Folic Acid, Vitamin B12 & Zinc Tablets)",SRDT ? 1207,"M/s. Spas Remedise, Vill Bersan, P.O. Lodhi Majra, Teh Baddi, Distt. Solan Himachal Pradesh â?? 173 205.",01-02-2020
"Tymolytic AP (Aceclofenac, Paracetamol & Trypsin Chymotrypsin Capsules)",LVC?6286,"M/s. Life Vision Healthcare, Plot No. 140, EPIP, Phase â?? 1, Jharmajri, Baddi, Solan Himachal Pradesh.",01-02-2020
Metronidazole Tablets I.P. 400mg. (NEUZOL- 400),NZL-19002,"M/s. Neutec Healthcare Pvt. Ltd. E-698, DSNDC, Industrial Area, Narela, Delhi-110040.",01-02-2020
Pantoprazole Tablets I.P. (PANTA-40),OPT-48,"M/s. Orison Pharmaceuticals 51, Industrial Estate, Ambala Cantt-133006 Haryana.",01-02-2020
Biodipin 5 (Amlodipine Tablets IP),ZD19769,"M/s. Skymap Pharmaceuticals Pvt. Ltd., B-3, Dev Bhoomi Industrial Estate, Puhana Iqbalpur Road, Roorkee 247667 Uttarakhand.",01-02-2020
Albendazole Tablets I.P. 400 mg.,ABT18042,"M/s. Vivek Pharmachem (India) Ltd. NG-8, Chimanpura, Amer, Jaipur-303102 Rajasthan.",01-02-2020
Everolimus,201812021,"M/s. Zhejiang Medicines & Health Products Import & Export Co. Ltd., China.",01-02-2020
